"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole";;;
2;"D2,D1";"D_SOD-123";2;"SMF6.0";;;
3;"J1";"RCA_Switchcraft_PJRAS2X1S01X";1;"INPUT";;;
4;"U3,U2,U1";"SOIC-8_3.9x4.9mm_P1.27mm";3;"LM4562";;;
5;"R14,R13,R12,R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"22R";;;
6;"R10,R9,R6,R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"2K";;;
7;"R8,R7";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"1K";;;
8;"R4,R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"47K";;;
9;"R2,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100R";;;
10;"J4";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"POWER";;;
11;"J3";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"CH2OUT";;;
12;"J2";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"CH1OUT";;;
13;"C8,C7,C6,C5,C4,C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"100n";;;
14;"C2,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"100p";;;
